SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GLOBAL_1381535404205|-43.351|-22.421|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381535404205/|0.0
GLOBAL_1381595967326|-82.452|27.945|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[usa,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381595967326/|0.0
GLOBAL_1381596883367|-82.463|27.906|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[usa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381596883367/|0.0
GLOBAL_1381705813235|-75.573|6.229|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[col,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381705813235/|0.0
GLOBAL_1381707507912|144.965|-37.597|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381707507912/|0.0
AUS_1381720178697|145.02|-37.594|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[aus,aus]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/AUS_1381720178697/|0.0
GLOBAL_1381741309295|78.0|14.0|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ind,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381741309295/|0.0
GLOBAL_1381744187932|78.558|14.057|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ind,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381744187932/|0.0
GLOBAL_1381775083982|-98.842|19.149|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[mex,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381775083982/|0.0
GLOBAL_1381839702457|-16.41|14.34|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|6:10|prec|[1960_1990,1960_1990]|[sen,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381839702457/|0.0
SEN_1381841493734|-16.385|14.268|ccafs|[ensemble,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|none|6:10|prec|[2020_2049,2020_2049]|[sen,sen]|[30s,30s]|[a1b,a1b]|/var/www/analogues/outputs/SEN_1381841493734/|0.0
SEN_1381841670262|-15.353|14.033|ccafs|[ensemble,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|none|6:10|prec|[2020_2049,2020_2049]|[sen,sen]|[30s,30s]|[a1b,a1b]|/var/www/analogues/outputs/SEN_1381841670262/|0.0
SEN_1381843006363|-16.396|14.363|ccafs|[ensemble,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|none|6:10|prec|[2020_2049,2020_2049]|[sen,sen]|[30s,30s]|[a1b,a1b]|/var/www/analogues/outputs/SEN_1381843006363/|0.0
GLOBAL_1381921012677|7.452|46.93|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[che,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381921012677/|0.0
GLOBAL_1381922263254|7.441|46.933|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[che,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381922263254/|0.0
GLOBAL_1382007231959|31.608|30.119|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[egy,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1382007231959/|0.0
GLOBAL_1382020502201|-108.281|38.556|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[usa,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1382020502201/|0.0
GLOBAL_1382038401923|-62.578|4.215|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1382038401923/|0.0
COL_1382043927056|-76.518|3.422|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1382043927056/|0.0
GLOBAL_1382097387369|99.932|18.125|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1382097387369/|0.0
COL_1382122251010|-77.408|1.43|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[col,col]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/COL_1382122251010/|0.0
PAN_1382122931615|-79.525|8.986|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/PAN_1382122931615/|0.3
GLOBAL_1382180365805|2.649|13.649|ccafs|[bccr_bcm2_0,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382180365805/|0.0
GLOBAL_1382180838774|2.649|13.649|ccafs|[cccma_cgcm3_1_t47,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382180838774/|0.0
GLOBAL_1382181171362|2.649|13.649|ccafs|[cccma_cgcm3_1_t63,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382181171362/|0.0
GLOBAL_1382181461844|2.649|13.649|ccafs|[cnrm_cm3,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382181461844/|0.0
GLOBAL_1382181689860|2.649|13.649|ccafs|[csiro_mk3_0,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382181689860/|0.0
GLOBAL_1382181917167|2.649|13.649|ccafs|[csiro_mk3_5,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382181917167/|0.0
GLOBAL_1382182215608|2.649|13.649|ccafs|[gfdl_cm2_0,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382182215608/|0.0
GLOBAL_1382182395358|2.649|13.649|ccafs|[gfdl_cm2_1,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382182395358/|0.0
GLOBAL_1382182837030|2.649|13.649|ccafs|[giss_aom,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382182837030/|0.0
GLOBAL_1382183073115|2.649|13.649|ccafs|[giss_model_eh,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382183073115/|0.0
GLOBAL_1382183304074|2.649|13.649|ccafs|[giss_model_er,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382183304074/|0.0
GLOBAL_1382183477120|2.649|13.649|ccafs|[iap_fgoals1_0_g,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382183477120/|0.0
GLOBAL_1382183678915|2.649|13.649|ccafs|[ingv_echam4,current]|[tmean,prec]|[0.2,0.8]|[12,12]|backward|5:10|prec|[2020_2049,1960_1990]|[ner,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1382183678915/|0.0
