SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GLOBAL_1372084691241|36.826171875|-1.28529257936|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1372084691241/|0.0
GLOBAL_1372085702140|36.826171875|-1.28529257936|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1372085702140/|0.5
GHA_1372087381420|-0.867919921875|9.3840321096|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|11:1|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1372087381420/|0.0
GHA_1372087681710|-0.867919921875|9.3840321096|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|2:3|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1372087681710/|0.0
GHA_1372090159548|-0.867919921875|9.3840321096|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1372090159548/|0.0
GLOBAL_1372094647237|144.4921875|-33.4314413356|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:2|tmean|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1372094647237/|0.5
GBR_1372165120036|-3.81007745638|53.0963352873|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gbr,gbr]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GBR_1372165120036/|0.0
GLOBAL_1372337860134|-72.7734375|-4.21494314139|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1372337860134/|0.0
UGA_1372339607582|32.0063611487|0.93677077431|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[uga,uga]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/UGA_1372339607582/|0.0
GLOBAL_1372342553214|-72.7734375|-4.21494314139|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1372342553214/|0.0
